id,Business Unit,Job Family,Job Title,description,cost,Status,is_deleted,created_date,modified_date
89,MOTUS,Business Planning and Analytics,Chief Executive Officer: Division,"To provide strategic direction in the formulation of the divisional operational organisational business model and strategy, in order to influence and enable divisional operations, organisational wide adoption.",5500,,,,
90,MOTUS,Business Planning and Analytics,Chief Executive Officer: Divisional (Alert),"To provide strategic direction in the formulation of the sub divisional operational organisational business model and strategy in line with the overall company and shareholder strategy, in order to influence and enable divisional operations, and organisational wide adoption.",5500,,,,
91,MOTUS,Finance,Chief Financial Officer,"To formulate a financial operating model and strategy in order to drive the overall optimisation of the financial function. Provide vision and leadership for developing and implementing financial initiatives that align with the strategy of the organisation and ensure sound and sustainable financial position of the Vehicle Retail, Rental and Aftermarket Parts division of Imperial Holdings Limited..",4200,,,,
92,MOTUS,Finance,Chief Financial Officer,"To develop a financial operating model and strategy in order to drive the overall optimisation of the functional value chain, enabling horizontal alignment, implementation & adoption; contributing to the realisation of the multi value chain's. vision. Provide vision and leadership for developing and implementing financial initiatives that align with the strategy of the division.",4200,,,,
93,MOTUS,Finance,Chief Financial Officer - Sub Division,"To formulate a financial operating model and strategy in order to drive the overall optimisation of the sub division financial function. Provide vision and leadership for developing and implementing financial initiatives that align with the strategy of the organisation and ensure sound and sustainable financial position of the Vehicle Retail, Rental and Aftermarket Parts division of Imperial Holdings Limited..",4200,,,,
94,MOTUS,Finance,Chief Financial Officer: Sub Division (Car Rental),"To formulate a financial operating model and strategy in order to drive the overall optimisation of the sub division's financial function and provide vision and leadership for developing and implementing financial initiatives that align with the strategy of the organisation, to ensure sound and sustainable financial positioning of the sub division.",4200,,,,
95,MOTUS,Information Technology,Chief Information Officer,"To develop an Information Technology operating model and strategy in order to drive the overall optimisation of the functional value chain, enabling horizontal alignment, implementation & adoption; contributing to the realisation of the multi value chain's. vision. Provide vision and leadership for developing and implementing information technology initiatives that align with the strategy of the division.",4200,,,,
96,MOTUS,Information Technology,Chief Information Officer,"To develop an Information Technology operating model and strategy in order to drive the overall optimisation of the functional value chain, enabling horizontal alignment, implementation & adoption; contributing to the realisation of the multi value chain's. vision. Provide vision and leadership for developing and implementing information technology initiatives that align with the strategy of the division.",4200,,,,
97,MOTUS,Information Technology,Chief Information Officer (Car Rental),"To develop an Information Technology operating model and strategy in order to drive the overall optimisation of the functional value chain, enabling horizontal alignment, implementation & adoption; contributing to the realisation of the multi value chain's. vision. Provide vision and leadership for developing and implementing information technology initiatives that align with the strategy of the division.",4200,,,,
98,MOTUS,"Legal, Risk and Compliance",Chief Specialist: Governance/Compliance,"To solve complex multi dimensional problems related to cross value chain impacts. Provide expertise, advice and support in the functional planning and implementation of optimal governance frameworks and operating models to deliver on Organisational Strategy.",4200,,,,
99,MOTUS,Administration,Clerk: Administration,To provide administrative support service accurately and timeously as per agreed standard operating procedures.,2500,,,,
100,MOTUS,Administration,Clerk: Bookings,To deliver clerical support in order to process vehicle booking transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
101,MOTUS,Finance,Clerk: Cash and Cheque Book Management,To deliver a clerical service in order to process cash and cheque book management transactions accurately and timeously as per agreed standard operating procedures. Maintain adequate financial records and ensure compliance.,2500,,,,
102,MOTUS,Finance,Clerk: Creditors and Debtors,To perform creditors and debtors clerical tasks against predefined work objectives as per agreed standard operating procedures.,2500,,,,
103,MOTUS,Administration,Clerk: Dealer Warranty,To deliver clerical support in order to process warranty transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
104,MOTUS,Administration,Clerk: Filing,To deliver a clerical service in order to process filing of documents accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
105,MOTUS,Administration,Clerk: General,To deliver general clerical support in order to process transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
106,MOTUS,Parts,Clerk: Parts Dispatching,To deliver and dispatch parts in order to process parts transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
107,MOTUS,Parts,Clerk: Parts Receiving,To deliver clerical support in order to process parts receiving transactions accurately and timeously as per agreed standard operating procedures.,2500,,,,
108,MOTUS,Administration,Clerk: Service Cost and Warranties,To deliver clerical support in order to process service costing and warranties transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
109,MOTUS,Administration,Clerk: Service Cost and Warranties (MF),To deliver clerical support in order to process service costing and warranty transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
110,MOTUS,"Repairs, Servicing and Support Services",Clerk: Service Costing,To deliver clerical support in order to process service costing transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
111,MOTUS,Finance,Clerk: Vehicle Invoicing and Licencing,To deliver clerical support in order to process vehicle invoicing and licencing transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
112,MOTUS,Finance,Clerk: Accounts,To deliver general clerical support in order to process financial accounts transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
113,MOTUS,Finance,Clerk: Cash Book,To deliver a clerical service in order to process cash book transactions accurately and timeously as per agreed standard operating procedures. Maintain adequate financial records and ensure compliance.,2500,,,,
114,MOTUS,Administration,Clerk: Parts Administration,To deliver clerical work in order to process parts administration transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
115,MOTUS,Administration,Clerk: Vehicle Licencing and Driver,To deliver clerical support in order to process vehicle invoicing and licencing transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
116,MOTUS,Administration,Clerk: Warranties,To deliver clerical support in order to process warranty transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
117,MOTUS,Administration,Clerk:  Service Administration,Provide administration services accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
118,MOTUS,Information Technology,Consultant: Document Management System Implementation,To deliver system support in order to process document management system implementation and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
119,MOTUS,Information Technology,Consultant: Implementation Support,To deliver system support in order to process implementation support activities and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
120,MOTUS,Parts,Controller: Stock,To cost effectively and efficiently control stock internally.,2500,,,,
121,MOTUS,Sales,Controller: Vehicle Stock,To deliver controller support in order to process vehicle stock transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
122,MOTUS,Workplace and Facilities,Controller: Boom Gate,To deliver Access control task to the business unit accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
123,MOTUS,Customer Service,Controller: Call Centre,To deliver call centre control service in order to process call centre transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures,2500,,,,
124,MOTUS,Finance,Controller: Creditor,To provide finance support to relevant financial related transactions accurately and timely through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
125,MOTUS,Customer Service,Controller: Customer Service,To provide support to customers with reservations and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures,2500,,,,
126,MOTUS,Finance,Controller: Finance,To provide finance support to relevant financial related transactions accurately and timely through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
127,MOTUS,Operations,Controller: Fleet Administration,To deliver fleet administration support in order to process fleet transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
128,MOTUS,Insurance and related financial services,Controller: Insurance,To provide finance support to relevant insurance related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
129,MOTUS,Operations,Controller: Operations,To deliver operational support in order to process transactions accurately and timely through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
130,MOTUS,Operations,Controller: Operations Yard,To deliver operational support within the warehouse environment through the execution of pre-defined work objectives as per agreed standard operating procedures.,2500,,,,
131,MOTUS,Parts,Controller: Parts,To cost effectively and efficiently control and monitor parts within the standard operating procedure.,2500,,,,
132,MOTUS,Quality Management,Controller: Quality Assurance,"Monitor, report, on technical work performed to ensure that quality standards are adhered to and implement remedial against set standard operating procedures.",2500,,,,
133,MOTUS,Quality Management,Controller: Quality Centre,"Monitor, report, on technical work performed in the quality centre and implement remedial against set standard operating procedures",2500,,,,
134,MOTUS,Quality Management,Controller: Quality Control,"Monitor, report, on technical work performed and implement remedial against set standard operating procedures.",2500,,,,
135,MOTUS,Quality Management,Controller: Quality Control (Alert),"Monitor, report, and perform quality control on technical activities and practices and recommend remedial action against set standard operating procedures.",2500,,,,
136,MOTUS,"Repairs, Servicing and Support Services","Controller: Repairs, Servicing and Support Services",To deliver controller and clerical for repairs service and support in order to process service costing transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
137,MOTUS,Human Capital,Controller: Skills Development,To deliver on skills development interventions of employees in order to coordinate and process training and development transactions accurately and timeously.,2500,,,,
138,MOTUS,Warehouse,Controller: Stock (Alert),"To cost effectively and efficiently control stock internally, according to standard operating procedures using delegated discretion to deliver quality.",2500,,,,
139,MOTUS,Workplace and Facilities,Controller: Vehicle Parking,"To deliver daily access control tasks to the business unit, as per agreed standard operating procedures.in order to accurately verify the movement and condition of vehicles entering and exiting the premises.",2500,,,,
140,MOTUS,Finance,Controller: Vehicle Stock Dealer Invoicing,To deliver controller support in order to process vehicle stock transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
141,MOTUS,Sales,Controller: Vehicle Stock Importer,To deliver customer liaison and controller support in order to process vehicle stock transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
142,MOTUS,Operations,Controller:Production,"To plan, manage and monitor the implementation of all production related activities and processes in order to deliver on approved operational and support plans and to continuously enhance service delivery.",2500,,,,
143,MOTUS,Customer Service,Coordinator: Client Liaison,"To provide advice and support to increase operational quality and turnaround time, through the execution of predefined work objectives as per agreed standard operating procedures to ensure excellent customer relations.",2500,,,,
144,MOTUS,Marketing and Communications,Coordinator: Client Relationship Management (CRM),To manage the organisation's CRM competency and communication to ensure maximisation for marketing opportunities.,2500,,,,
145,MOTUS,Human Capital,Coordinator: Training and Development,To deliver on training and development interventions of employees in order to coordinate and process training and development transactions accurately and timeously.,2500,,,,
146,MOTUS,Operations,Coordinator: Training Centre (Facilities),"To plan, manage and monitor the implementation of all training centre facilities related security, reception, customer queries and other applicable activities and processes to continuously enhance service delivery for the centre.",2500,,,,
147,MOTUS,Sales,Coordinator: Vehicle Sales Processing,To deliver sales support in order to coordinate and process vehicle sales transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
148,MOTUS,Customer Service,Coordinator: Callcentre Quality Control,"Monitor, report, on Call centrel team work performed and implement remedial against set standard operating procedures.",2500,,,,
149,MOTUS,Marketing and Communications,Coordinator: Client Relations,To monitor leads and process driven compliance in order to enable prospective sales transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
150,MOTUS,Customer Service,Coordinator: Client Services,To provide general and complex client services support in order to process client service transactions accurately and timely.,2500,,,,
151,MOTUS,Distribution,Coordinator: Distribution (Renault),To deliver customer liaison support for distribution ensuring vehicle delivery transactions are accurately and timeously executed through predefined work objectives as per agreed standard operating procedures.,2500,,,,
152,MOTUS,Marketing and Communications,Coordinator: Events,To coordinate all events activities accurately and timeously as per agreed standard operating procedures.,2500,,,,
153,MOTUS,Operations,Coordinator: Facilities - to be deleted linked to Team Leader,"To plan, manage and monitor the implementation of all facilities related security, reception, maintenance and all other applicable activities and processes to continuously enhance service delivery.",2500,,,,
154,MOTUS,Sales,Coordinator: Fleet (Renault),"To provide back office support to the Fleet department to ensure accurate and timeous internal and external customer service, as per agreed standard operating procedures to meet and exceed customer satisfaction.",2500,,,,
